Name,classification,Age,OverallScore,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
E.J. Liddell,College,,,2,Anthony Davis,Jaren Jackson Jr.,Kristaps Porziņģis,3.702448070956829,4.18783324783091,4.199107865115662
Trevor Keels,College,18.81,4.32,8,Cedi Osman,Bogdan Bogdanović,Evan Fournier,1.7883306744789482,1.9103218498627128,1.9446745953380733
Moussa Diabate,College,20.41,3.64,2,Daniel Theis,Goga Bitadze,Drew Eubanks,2.053937889271019,2.1341226945472513,2.207536370434168
Ryan Rollins,College,19.96,6.84,5,Jimmy Butler,Anthony Edwards,Jaylen Brown,1.7620986414642263,2.126217143435906,2.2704693933918527
Josh Minott,College,20.46,4.3,2,Frank Kaminsky,Naz Reid,DeMarcus Cousins,2.7873320507176818,2.906952329294713,2.9494908778194224
Kendall Brown,College,19.11,5.7,8,Nemanja Bjelica,Thaddeus Young,Caleb Martin,2.579251700280364,2.7033583420589453,2.715868706608423
Isaiah Mobley,College,22.73,5.81,2,Scottie Barnes,Wendell Carter Jr.,Miles Bridges,2.393869277833011,2.5425345907778305,2.588124430735895
Tyrese Martin,College,23.28,5.14,8,Kevin Love,Scottie Barnes,Bobby Portis,2.3356893070649987,2.3842327275779023,2.582363895962977
JD Davison,College,19.71,5.01,5,Eric Bledsoe,Kyle Lowry,Rajon Rondo,2.668021508252218,2.753391521361265,2.9021786531918923
Jabari Walker,College,19.89,6.03,2,Jonas Valančiūnas,Wendell Carter Jr.,Christian Wood,2.11654774085304,2.2578680210402147,2.43207008305269
Tevin Brown,College,23.74,6.27,8,De'Anthony Melton,OG Anunoby,Desmond Bane,2.0498828657934256,2.08802686605877,2.160655086700921
John Butler,College,19.54,2.15,2,Braxton Key,Braxton Key,Naz Reid,2.7690454011470305,2.839256360901378,2.9966328112877223
Julian Champagnie,College,20.97,6.06,2,OG Anunoby,Anthony Edwards,De'Anthony Melton,3.2104662290561943,3.378862671133985,3.419335522001905
Kofi Cockburn,College,22.8,7.08,2,Christian Wood,Deandre Ayton,Karl-Anthony Towns,2.923586967233452,2.986995538050212,3.0951964225296926
Keon Ellis,College,22.44,6.31,8,De'Anthony Melton,Jae Crowder,Herbert Jones,2.9411126930253113,3.1566152377076673,3.188361838014984
Jordan Hall,College,20.43,5.6,5,Josh Giddey,Russell Westbrook,Ricky Rubio,1.9795138352207828,2.147601819062798,2.1977334328085036
Ron Harper Jr.,College,22.19,5.52,8,Desmond Bane,Andrew Wiggins,Miles Bridges,1.908890410477914,2.1433124167210944,2.2227477350980056
Johnny Juzang,College,21.09,4.78,8,Jordan Clarkson,Bogdan Bogdanović,Bojan Bogdanović,1.8998057050012584,2.0900984840444026,2.103923725101476
Justin Lewis,College,20.19,5.56,2,Scottie Barnes,Miles Bridges,OG Anunoby,2.219537434753361,2.28109827661827,2.47378807132526
Kenneth Lofton Jr.,College,19.85,7.13,5,Jusuf Nurkić,Bam Adebayo,Domantas Sabonis,2.6444462339888077,2.672840812945597,3.0286583522894484
Iverson Molinar,College,22.54,5.8,5,Jordan Poole,Jimmy Butler,Anthony Edwards,2.1583750492058473,2.2684440538703208,2.317126077992622
Orlando Robinson,College,21.94,7.65,5,Kristaps Porziņģis,Karl-Anthony Towns,Joel Embiid,2.688460601921936,2.7856471409861365,2.992575745929873
Dereon Seabron,College,22.07,5.76,5,Josh Hart,Josh Hart,Jaylen Brown,2.344142659198439,2.3622818311532665,2.417159257728506
Alondes Williams,College,23.0,6.79,5,Ja Morant,Pascal Siakam,Khris Middleton,2.383735004733023,2.4463031320821305,2.578274066424497
Trevion Williams,College,21.76,6.6,5,Kelly Olynyk,Jusuf Nurkić,Domantas Sabonis,4.506765577596029,4.512352146331808,4.544100427588354
Dyson Daniels,G League,19.26,6.14,5,Lonzo Ball,Scottie Barnes,De'Anthony Melton,2.6478597053420736,3.408553414196268,3.442525989366318
MarJon Beauchamp,G League,20.68,5.96,2,Scottie Barnes,OG Anunoby,De'Anthony Melton,2.24189091096955,2.4894142433861823,2.5353511099256143
Jaden Hardy,G League,19.96,6.01,5,Jaylen Brown,Anthony Edwards,Khris Middleton,2.4633176538740233,2.722170942815908,2.842754515532629
Michael Foster Jr.,G League,19.42,6.42,2,Evan Mobley,Kristaps Porziņģis,Kristaps Porziņģis,2.679510375368938,3.0007190061601388,3.0356597957136184
Ousmane Dieng,International,19.08,3.9,8,Kelly Olynyk,Obi Toppin,Nemanja Bjelica,2.564236586773867,2.6649073736631133,2.705893033064148
Nikola Jović,International,19.03,5.55,5,Kelly Olynyk,Will Barton,Josh Hart,2.8584268947324754,3.0463913701180783,3.097058481784081
Gabriele Procida,International,20.05,4.94,6,Caleb Martin,Danuel House Jr.,Otto Porter Jr.,2.158583333561305,2.3334831361134176,2.349568978415432
Khalifa Diop,International,20.42,4.6,6,Obi Toppin,Isaiah Roby,Thaddeus Young,2.5490914251637027,2.6386834993104267,2.7206540983407987
Ismael Kamagate,International,21.42,5.77,2,Evan Mobley,Isaiah Hartenstein,Brandon Clarke,3.0483465264078773,3.1436659576963484,3.1788803097760923
Matteo Spagnolo,International,19.44,5.79,8,Jordan Poole,Desmond Bane,Victor Oladipo,2.8352309431630154,2.8443337406972025,2.8883753972799786
Karlo Matković,International,21.22,5.11,2,Montrezl Harrell,Montrezl Harrell,Montrezl Harrell,3.2135970061183645,3.2294089411265094,3.2624418570235387
Yannick Nzosa,International,18.59,2.13,3,Khem Birch,Xavier Tillman Sr.,Luke Kornet,3.215612052416987,3.315876743529846,3.4136540423352306
Luke Travers,International,20.79,4.57,8,Kyle Anderson,Kelly Olynyk,De'Anthony Melton,2.189746445594804,2.30157239469141,2.428806819524739
Hugo Besson,International,21.15,4.73,8,Kelly Olynyk,Jordan Clarkson,Kevin Love,2.7035267945868395,2.755436925099554,2.764216965594518
Ziga Samar,International,21.39,5.6,8,Mike Conley,Alec Burks,Kelly Olynyk,2.6720165398757927,2.7665677246798124,2.811273918981307
Shaedon Sharpe,College,19.05,5.93,8,De'Anthony Melton,Scottie Barnes,Kelly Olynyk,2.1929028036602363,2.2298670004532304,2.284086804106982
