generation,college_accuracy,college_lottery,noncollege_accuracy,noncollege_lottery
1,0.0857142857142857,0.3571428571428571,0.0285714285714285,0.1857142857142857
2,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
3,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
4,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
5,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
6,0.0714285714285714,0.3571428571428571,0.0285714285714285,0.1857142857142857
7,0.0857142857142857,0.3857142857142857,0.0285714285714285,0.1857142857142857
8,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
9,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
10,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
11,0.0857142857142857,0.3571428571428571,0.0285714285714285,0.1857142857142857
12,0.0857142857142857,0.3857142857142857,0.0285714285714285,0.1857142857142857
13,0.0714285714285714,0.3571428571428571,0.0285714285714285,0.1857142857142857
14,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
15,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
16,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
17,0.1,0.3571428571428571,0.0285714285714285,0.1857142857142857
18,0.0714285714285714,0.3571428571428571,0.0285714285714285,0.1857142857142857
19,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
20,0.0714285714285714,0.3714285714285714,0.0285714285714285,0.1857142857142857
21,0.1,0.3571428571428571,0.0285714285714285,0.1857142857142857
22,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
23,0.0857142857142857,0.3857142857142857,0.0285714285714285,0.1857142857142857
24,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
25,0.0857142857142857,0.3857142857142857,0.0285714285714285,0.1857142857142857
26,0.0714285714285714,0.3714285714285714,0.0285714285714285,0.1857142857142857
27,0.1,0.3714285714285714,0.0285714285714285,0.1857142857142857
28,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
29,0.0857142857142857,0.3857142857142857,0.0285714285714285,0.1857142857142857
30,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
31,0.0857142857142857,0.3571428571428571,0.0285714285714285,0.1857142857142857
32,0.0857142857142857,0.3571428571428571,0.0285714285714285,0.1857142857142857
33,0.0714285714285714,0.3714285714285714,0.0285714285714285,0.1857142857142857
34,0.0714285714285714,0.3714285714285714,0.0285714285714285,0.1857142857142857
35,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
36,0.0857142857142857,0.3571428571428571,0.0285714285714285,0.1857142857142857
37,0.0857142857142857,0.3714285714285714,0.0285714285714285,0.1857142857142857
