Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,True Shooting %TS%,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG,Unnamed: 19,WS/48
Reed Sheppard,19.99,College,,G,33.0,5.0,28.9,4.3,8.0,0.536,2.3,4.4,0.521,2.0,3.6,0.555,0.679,1.6,2.0,0.831,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,12.5,23.6,0.699,0.548,0.247,421.0,1.5,13.3,7.7,24.1,4.6,2.5,18.3,18.0,3.0,1.4,4.5,0.188,6.4,5.0,11.4,0.699,0.679,0.548,0.247,0.388,1.34,2.24,0.126,0.059,129.4,103.1,,
Stephon Castle,19.63,College,,G,34.0,30.0,27.0,4.0,8.5,0.472,0.6,2.2,0.267,3.4,6.3,0.544,0.507,2.4,3.2,0.755,1.7,3.0,4.7,2.9,0.8,0.5,1.5,2.4,11.1,19.0,0.551,0.259,0.379,397.0,7.8,12.0,10.1,18.4,1.8,2.1,13.0,22.0,2.5,1.7,4.3,0.186,3.4,3.1,6.5,0.551,0.507,0.259,0.379,0.336,0.84,1.94,0.109,0.074,119.7,99.3,,
Donovan Clingan,20.32,College,,C,35.0,33.0,22.5,5.3,8.3,0.639,0.1,0.2,0.25,5.3,8.1,0.65,0.643,2.3,4.0,0.583,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2.0,13.0,34.8,0.637,0.027,0.478,420.0,13.8,23.5,19.0,13.5,1.4,11.4,7.3,25.1,3.8,2.2,6.0,0.302,8.8,6.2,15.0,0.637,0.643,0.027,0.478,0.303,0.54,1.89,0.193,0.112,135.3,89.4,,
Rob Dillingham,19.46,College,,G,32.0,1.0,23.3,5.4,11.3,0.475,2.0,4.5,0.444,3.4,6.8,0.495,0.564,2.4,3.1,0.796,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,15.2,23.5,0.595,0.398,0.271,475.0,1.2,11.8,6.8,29.7,2.4,0.3,13.5,30.3,2.6,0.7,3.3,0.174,5.6,0.7,6.2,0.595,0.564,0.398,0.271,0.385,0.98,1.94,0.139,0.038,118.0,109.8,,
Zach Edey,22.1,College,,C,39.0,39.0,32.0,8.6,13.8,0.623,0.0,0.1,0.5,8.6,13.8,0.624,0.624,7.9,11.2,0.711,4.6,7.5,12.2,2.0,0.3,2.2,2.3,1.9,25.2,39.3,0.659,0.004,0.809,916.0,18.1,25.4,22.0,14.6,0.5,6.9,10.8,33.4,7.9,2.6,10.5,0.336,13.1,3.7,16.8,0.659,0.624,0.004,0.809,0.319,0.44,0.88,0.253,0.083,135.0,97.2,,
Cody Williams,19.58,College,,F,24.0,18.0,28.4,4.5,8.1,0.552,0.7,1.7,0.415,3.8,6.4,0.588,0.595,2.3,3.2,0.714,0.7,2.3,3.0,1.6,0.6,0.7,2.0,2.0,11.9,15.7,0.62,0.211,0.397,256.0,3.2,9.1,6.4,10.2,1.3,2.4,17.2,20.8,1.2,0.8,2.0,0.118,2.4,1.5,3.9,0.62,0.595,0.211,0.397,0.339,0.49,0.79,0.07,0.047,112.0,106.6,,
Devin Carter,22.26,College,,G,33.0,33.0,35.3,6.6,14.0,0.473,2.5,6.8,0.377,4.1,7.3,0.563,0.564,3.9,5.2,0.749,1.0,7.7,8.7,3.6,1.8,1.0,2.7,1.9,19.7,25.6,0.597,0.482,0.369,619.0,3.4,23.7,14.0,23.3,2.9,2.8,14.1,28.1,3.3,2.7,6.0,0.206,7.3,5.0,12.3,0.597,0.564,0.482,0.369,0.369,0.83,1.35,0.113,0.093,115.2,94.5,,
Carlton Carrington,18.92,College,,G,33.0,33.0,33.2,4.8,11.7,0.412,2.0,6.1,0.322,2.8,5.6,0.511,0.496,2.2,2.8,0.785,0.5,4.7,5.2,4.1,0.6,0.2,1.9,2.4,13.8,16.3,0.53,0.523,0.241,463.0,1.6,16.8,8.9,24.0,1.0,0.9,13.0,23.0,2.2,1.4,3.6,0.133,2.6,1.3,3.9,0.53,0.496,0.523,0.241,0.366,1.04,2.12,0.08,0.051,111.5,105.2,,
Kel'el Ware,20.17,College,,C,30.0,30.0,32.2,6.3,10.7,0.586,0.6,1.3,0.425,5.7,9.4,0.609,0.612,2.8,4.5,0.634,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.0,15.9,25.0,0.621,0.125,0.417,434.0,7.9,26.0,17.5,9.9,1.1,6.5,10.9,22.9,2.7,1.5,4.2,0.175,5.8,2.7,8.5,0.621,0.612,0.125,0.417,0.324,0.43,0.96,0.112,0.062,120.3,102.3,,
Jared McCain,20.33,College,,G,36.0,36.0,31.6,4.9,10.5,0.462,2.4,5.8,0.414,2.4,4.7,0.521,0.577,2.1,2.4,0.885,0.8,4.2,5.0,1.9,1.1,0.1,1.3,1.6,14.3,19.4,0.611,0.554,0.23,461.0,3.1,15.2,9.3,11.0,2.0,0.2,10.1,21.1,3.3,1.9,5.2,0.182,6.0,2.6,8.5,0.611,0.577,0.554,0.23,0.391,0.52,1.45,0.116,0.067,124.0,101.2,,
Dalton Knecht,23.17,College,,G,36.0,36.0,30.6,7.3,16.0,0.458,2.6,6.5,0.397,4.8,9.5,0.499,0.538,4.4,5.7,0.772,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,21.7,24.4,0.578,0.406,0.357,660.0,2.8,14.3,8.7,13.4,1.3,2.4,8.3,32.7,3.7,2.0,5.7,0.207,8.5,2.8,11.3,0.578,0.538,0.406,0.357,0.38,0.41,1.07,0.135,0.073,117.6,100.1,,
Tristan da Silva,23.1,College,,F,34.0,34.0,33.8,5.8,11.8,0.493,1.9,4.8,0.395,3.9,7.0,0.559,0.573,2.5,3.0,0.835,0.9,4.1,5.1,2.4,1.1,0.6,1.8,2.0,16.0,19.8,0.606,0.405,0.258,497.0,3.6,13.7,9.0,13.4,2.0,1.7,12.0,22.5,3.1,1.6,4.7,0.164,5.0,2.2,7.1,0.606,0.572,0.405,0.258,0.372,0.6,1.34,0.108,0.056,120.0,104.0,,
Ja'Kobe Walter,19.79,College,,G,35.0,35.0,32.3,4.1,10.9,0.376,2.1,6.3,0.341,2.0,4.7,0.423,0.474,4.1,5.2,0.792,1.3,3.1,4.4,1.4,1.1,0.2,1.3,2.1,14.5,17.1,0.541,0.574,0.478,479.0,5.3,12.0,8.7,8.1,2.0,0.8,9.1,23.4,3.0,1.2,4.2,0.149,4.6,1.2,5.8,0.541,0.474,0.574,0.478,0.371,0.35,1.06,0.106,0.042,119.2,107.8,,
Jaylon Tyson,21.55,College,,G,31.0,30.0,34.3,7.2,15.4,0.465,1.6,4.5,0.36,5.5,10.9,0.509,0.518,3.6,4.6,0.796,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,19.6,22.2,0.557,0.291,0.298,595.0,5.2,17.0,11.0,23.6,2.0,1.5,15.0,30.1,2.4,1.1,3.5,0.133,5.7,1.2,6.8,0.557,0.518,0.291,0.298,0.36,0.78,1.11,0.09,0.041,109.4,108.4,,
Yves Missi,20.1,College,,F,34.0,32.0,22.9,4.1,6.7,0.614,0.0,0.0,,4.1,6.7,0.614,0.614,2.5,4.1,0.616,2.6,3.0,5.6,0.4,0.6,1.5,1.1,2.4,10.7,24.7,0.622,0.0,0.605,346.0,14.6,16.4,15.5,3.4,1.5,7.3,11.7,21.8,2.6,1.2,3.7,0.191,5.0,2.4,7.4,0.622,0.614,0.0,0.605,0.306,0.16,0.33,0.133,0.062,125.8,103.2,,
DaRon Holmes II,21.85,College,,F,33.0,33.0,32.5,6.6,12.1,0.544,1.0,2.5,0.386,5.6,9.6,0.585,0.584,6.2,8.8,0.713,1.7,6.8,8.5,2.6,0.9,2.1,2.2,2.0,20.4,31.7,0.627,0.208,0.724,642.0,6.8,23.7,15.9,18.9,1.8,7.2,12.1,31.5,4.7,2.3,7.0,0.26,8.3,4.0,12.3,0.627,0.584,0.208,0.724,0.34,0.6,1.16,0.176,0.086,123.8,96.5,,
Kyshawn George,20.52,College,,G,31.0,16.0,23.0,2.6,6.1,0.426,1.7,4.2,0.408,0.9,1.9,0.467,0.566,0.7,0.9,0.778,0.5,2.6,3.0,2.2,0.9,0.4,1.5,1.8,7.6,13.6,0.582,0.684,0.142,235.0,2.2,12.1,7.3,16.3,2.2,1.8,19.1,17.6,0.9,0.8,1.7,0.097,1.2,2.4,3.6,0.582,0.566,0.684,0.142,0.375,0.93,1.4,0.05,0.045,108.2,106.9,,
Dillon Jones,22.64,College,,F,31.0,31.0,37.0,6.9,14.2,0.489,1.1,3.4,0.324,5.8,10.8,0.54,0.527,5.8,6.8,0.857,0.8,9.0,9.8,5.2,2.0,0.1,3.0,2.3,20.8,27.9,0.597,0.239,0.477,673.0,2.7,31.1,16.7,30.3,3.2,0.3,14.8,29.5,4.0,2.6,6.6,0.23,5.5,2.3,7.7,0.597,0.527,0.239,0.477,0.357,1.03,1.72,0.14,0.091,118.0,95.3,,
Terrence Shannon Jr.,23.89,College,,G,32.0,31.0,33.9,6.8,14.4,0.475,2.4,6.7,0.362,4.4,7.8,0.573,0.559,6.9,8.6,0.801,0.8,3.2,4.0,2.3,1.0,0.9,2.0,2.2,23.0,26.9,0.622,0.462,0.599,662.0,2.7,9.9,6.4,12.9,1.7,2.3,9.8,29.2,5.0,1.3,6.4,0.235,8.9,2.7,11.5,0.622,0.559,0.462,0.599,0.376,0.44,1.14,0.184,0.048,129.4,106.1,,
